Location,Plot Number,Size,Floor,Accommodation,Possession,Price,Facing,Park Facing,Corner,,,,,,,,,,,
DLF City Phase 2,L16/6,250 square feet,4th Floor,3 BHK,READY,2.85 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
DLF City Phase 1,C11/1A,400 square feet,2nd Floor,3 BHK,READY,4.75 crores,NORTHWEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,A174B,418 square feet,1st Floor,4 BHK,READY,4.25 crores,NORTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,A174B,418 square feet,2nd Floor,4 BHK,READY,3.75 crores,NORTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,A174B,418 square feet,3rd Floor,4 BHK,READY,3.75 crores,NORTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,A174B,418 square feet,4th Floor,4 BHK,READY,3.9 crores,NORTH,NO,NO,,,,,,,,,,,
Sector 43,33,342 square feet,1st Floor,4 BHK,READY,3.25 crores,NORTHEAST,NO,NO,,,,,,,,,,,
Sector 43,33,342 square feet,2nd Floor,4 BHK,READY,3.25 crores,NORTHEAST,NO,NO,,,,,,,,,,,
Sector 43,33,342 square feet,3rd Floor,4 BHK,READY,3.25 crores,NORTHEAST,NO,NO,,,,,,,,,,,
Sector 43,33,342 square feet,4th Floor,4 BHK,READY,3.25 crores,NORTHEAST,NO,NO,,,,,,,,,,,
Sector 43,556,263 square feet,1st Floor,3 BHK,READY,2.5 crores,EAST,NO,NO,,,,,,,,,,,
Sector 43,692,204 square feet,1st Floor,3 BHK,READY,1.95 crores,NORTHEAST,NO,NO,,,,,,,,,,,
Sector 43,692,204 square feet,4th Floor,3 BHK,READY,2.1 crores,NORTHEAST,NO,NO,,,,,,,,,,,
Sector 43,725,263 square feet,1st Floor,3 BHK,READY,2.5 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
Sector 43,725,263 square feet,2nd Floor,3 BHK,READY,2.4 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
Sector 43,916,204 square feet,1st Floor,3 BHK,READY,1.9 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
Sector 43,916,204 square feet,2nd Floor,3 BHK,READY,1.9 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
Sector 43,1014,204 square feet,1st Floor,3 BHK,READY,2.4 crores,NORTHWEST,NO,NO,,,,,,,,,,,
Sector 42,491,204 square feet,1st Floor,3 BHK,READY,2.6 crores,WEST,NO,NO,,,,,,,,,,,
Sector 42,491,204 square feet,2nd Floor,3 BHK,READY,1.9 crores,WEST,NO,NO,,,,,,,,,,,
Sector 42,491,204 square feet,3rd Floor,3 BHK,READY,1.9 crores,WEST,NO,NO,,,,,,,,,,,
Sector 42,491,204 square feet,4th Floor,3 BHK,READY,2.1 crores,WEST,NO,NO,,,,,,,,,,,
Sector 42,525J,204 square feet,1st Floor,3 BHK,READY,2.15 crores,EAST,NO,NO,,,,,,,,,,,
Sector 42,525J,204 square feet,3rd Floor,3 BHK,READY,2.05 crores,EAST,NO,NO,,,,,,,,,,,
DLF City Phase 3,S25/1,500 square feet,1st Floor,4 BHK,READY,4.5 crores,NORTH,YES,YES,,,,,,,,,,,
DLF City Phase 3,S25/1,500 square feet,2nd Floor,4 BHK,READY,4.25 crores,NORTH,YES,YES,,,,,,,,,,,
